,,,,,,,,,,,,,,,,,,
,,SRS,,,Adjusted,,,,,,,,,,,,,
Rk,School,Conf,,AP Rank,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
48,Miami (FL),ACC,,14,25,7,79.4,72.1,7.28,,5.15,,11.54,0.9,12.43,114.21,96.63,17.58
49,Missouri,SEC,,25,24,9,79.5,74.6,4.91,,7.28,,12.79,-0.6,12.19,115.81,98.86,16.95
50,Mississippi State,SEC,,,21,12,65.9,61,4.91,,7.15,,-1.57,13.62,12.05,103,85.6,17.39
51,Colorado,Pac-12,,,17,16,70,66.8,3.27,,8.74,,4.72,7.3,12.02,104.01,87.55,16.45
52,Cincinnati,AAC,,,21,12,77.2,69.2,8,,5.06,,7.69,4.28,11.97,109.25,92.8,16.45
53,Oklahoma,Big 12,,,15,17,67.7,67.5,0.13,,11.84,,3.37,8.6,11.97,108.17,90.81,17.36
54,New Mexico,MWC,,,22,11,81.2,74,7.21,,5.69,,13.22,-1.31,11.91,111.04,94.78,16.26
55,Utah,Pac-12,,,17,15,68.7,63.8,4.81,,5.96,,2.7,9.17,11.87,100.4,85.68,14.72
56,Florida,SEC,,,16,16,71.9,68.7,3.28,,8.55,,5.84,5.99,11.83,105.07,88.31,16.76
57,Washington State,Pac-12,,,17,16,68.2,65.3,2.91,,8.48,,2.39,8.99,11.39,109.18,93.02,16.16
58,Nevada,MWC,,,22,10,72.6,66.9,5.75,,6.82,,4.62,6.72,11.34,107.5,90.93,16.57
59,Central Florida,AAC,,,18,14,72.2,66,6.25,,5,,3.06,8.19,11.25,107.03,89.89,17.15
60,Clemson,ACC,,,23,10,75,67.9,7.15,,4.07,,6.33,4.9,11.22,108.17,92.25,15.92
,,,,,,,,,,,,,SRS,,,Adjusted,,
Rk,School,Conf,,AP Rank,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
61,Arizona State,Pac-12,,,22,12,70.3,67.7,2.62,,8.39,,4.13,6.88,11.01,102.86,87.54,15.32
62,Seton Hall,Big East,,,17,15,68.5,65.1,3.38,,8.4,,0.84,10.17,11.01,103.07,87.56,15.51
63,Villanova,Big East,,,17,15,70.3,67.8,2.56,,8.66,,2.65,8.13,10.78,107.02,90.77,16.26
64,Wisconsin,Big Ten,,,17,14,64.9,63.8,1.13,,9.54,,-0.84,11.51,10.67,103.94,88.66,15.29
65,Virginia Commonwealth,A-10,,,27,7,71.4,62.9,8.53,,1.63,,2.08,8.08,10.16,103.03,88.62,14.41
66,Stanford,Pac-12,,,14,19,70.3,68.4,1.97,,8.07,,5.1,4.95,10.04,110.76,97.02,13.74
67,Pittsburgh,ACC,,,22,11,76.1,70.5,5.64,,4.3,,6.76,3.18,9.94,110.74,96.64,14.11
68,Brigham Young,WCC,,,19,15,75.5,69.9,5.65,,5.84,,5.52,4.36,9.88,104.4,90.37,14.03
69,UAB,CUSA,,,25,10,81.5,71.5,10.06,,1.1,,11.06,-1.28,9.78,107.19,93.74,13.46
70,Oral Roberts,Summit,,,30,4,84.2,70.1,14.12,,-2.96,,10.17,-0.6,9.58,110.04,97.2,12.84
71,Virginia Tech,ACC,,,19,14,74.2,69.8,4.45,,5.11,,6.35,3.22,9.57,110.77,96.81,13.96
72,North Texas,CUSA,,,26,7,64.2,55.7,8.48,,1.6,,-6.11,15.59,9.47,105.94,90.58,15.36
73,Vanderbilt,SEC,,,20,14,72.5,72.1,0.41,,8.9,,6.9,2.41,9.31,111.11,98.16,12.95
74,Santa Clara,WCC,,,23,9,77.6,73.6,3.97,,5.5,,8.43,0.74,9.17,107.19,94.9,12.3
75,Dayton,A-10,,,22,12,68.6,61,7.62,,1.34,,-1.47,10.42,8.95,105.77,92.17,13.6
76,St. John's (NY),Big East,,,18,15,77.3,75.2,2.15,,6.42,,10.3,-1.73,8.57,104.4,92.62,11.78
77,College of Charleston,CAA,,,31,3,80.8,67.4,13.44,,-4.51,,8.27,0.19,8.46,105.15,94.03,11.12
78,Drake,MVC,,,27,7,75.3,63.9,11.41,,-1.13,,3.27,5.06,8.33,105.43,92.97,12.47
79,Wake Forest,ACC,,,19,14,76.6,73.8,2.82,,5.41,,8.56,-0.33,8.23,108.91,97.57,11.33
80,Liberty,A-Sun,,,26,8,75.2,60.6,14.53,,-2.69,,0.68,7.52,8.21,106.95,93.76,13.19
,,,,,,,,,,,,,SRS,,,Adjusted,,
Rk,School,Conf,,AP Rank,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
81,Kent State,MAC,,,28,6,76.6,65.7,10.91,,-1.32,,2.56,5.5,8.06,102.16,91.19,10.97
82,Iona,MAAC,,,27,7,76.4,65,11.38,,-3.41,,4.93,3.04,7.97,106.63,95.23,11.4
83,Sam Houston State,WAC,,,25,7,73.2,58.9,14.28,,0.77,,-2.06,9.97,7.91,101.89,90.4,11.49
84,Yale,Ivy,,,21,8,76.2,63,13.28,,-2.2,,2.17,5.74,7.91,105.21,93.63,11.58
85,Nevada-Las Vegas,MWC,,,19,13,74.3,70,4.22,,5.8,,5.97,1.86,7.84,104.13,93.42,10.71
86,Nebraska,Big Ten,,,16,16,68,69.9,-1.91,,9.31,,1.94,5.46,7.41,103.18,92.79,10.39
87,Bradley,MVC,,,25,9,70.9,62.2,8.74,,-0.61,,-0.38,7.74,7.36,103.87,92.91,10.97
88,Marshall,Sun Belt,,,24,8,81.8,71.3,10.47,,-2.61,,9.59,-2.23,7.36,105,95.87,9.13
89,Washington,Pac-12,,,16,16,69.2,70.3,-1.16,,8.43,,4.12,3.16,7.27,102.01,92.35,9.67
90,Utah Valley,WAC,,,25,8,77,68.2,8.79,,0.89,,4.37,2.88,7.25,101.88,92.2,9.68
91,San Francisco,WCC,,,20,14,76.2,73.4,2.79,,4.17,,5.5,1.03,6.53,106,97.21,8.79
92,Toledo,MAC,,,28,7,85.8,76.7,9.03,,-2.36,,12.28,-5.78,6.49,114.15,105.38,8.77
93,Saint Louis,A-10,,,21,12,75.5,71.2,4.39,,3.14,,6.66,-0.34,6.33,107.85,98.51,9.34
94,Mississippi,SEC,,,12,21,67.5,69.1,-1.58,,7.8,,0.9,5.33,6.23,102.84,94.54,8.3
95,Colorado State,MWC,,,15,18,72.5,71.4,1.09,,6.42,,4.6,1.61,6.2,108.47,99.93,8.53
96,Wichita State,AAC,,,17,15,71,68.5,2.53,,3.67,,1.24,4.96,6.2,102.46,93.87,8.59
97,San Jose State,MWC,,,20,13,67.5,66.6,0.88,,5.72,,-0.54,6.48,5.94,105.58,97.08,8.5
98,Butler,Big East,,,14,18,65.3,67.9,-2.69,,8.52,,-2.66,8.5,5.84,99.11,91.6,7.51
99,Tulane,AAC,,,20,11,79.9,77.2,2.77,,3.05,,10.78,-4.95,5.83,105.28,97.32,7.96
100,Indiana State,MVC,,,22,12,79.4,69.3,10.12,,-3.54,,7.23,-1.47,5.76,106.04,98.19,7.85
,,,,,,,,,,,,,SRS,,,Adjusted,,
Rk,School,Conf,,AP Rank,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
101,Loyola Marymount,WCC,,,19,12,75.3,73.1,2.26,,4.85,,3.97,1.55,5.52,105.46,97.54,7.91
102,Syracuse,ACC,,,17,15,74.1,72.9,1.22,,4.17,,4.58,0.8,5.39,105.83,98.63,7.2
103,James Madison,Sun Belt,,,22,11,80.5,68.1,12.48,,-2.13,,5.95,-0.81,5.14,102.28,95.91,6.37
